Category,Cleaned_Resume,experience_years,technical_skills,soft_skills,education_level,fit_score
Data Science,"skills * programming languages: python (pandas, numpy, scipy, scikit-learn, matplotlib), sql, java, javascript/jquery. * machine learning: regression, svm, na ve bayes, knn, random forest, decision trees, boosting techniques, cluster analysis, word embedding, sentiment analysis, natural language processing, dimensionality reduction, topic modelling (lda, nmf), pca & neural nets. * database visualizations: mysql, sqlserver, cassandra, hbase, elasticsearch d3.js, dc.js, plotly, kibana, matplotlib, ggplot, tableau. * others: regular expression, html, css, angular 6, logstash, kafka, python flask, git, docker, computer vision - open cv and understanding of deep learning.education details data science assurance associate data science assurance associate - ernst & young llp skill details javascript- exprience - 24 months jquery- exprience - 24 months python- exprience - 24 monthscompany details company - ernst & young llp description - fraud investigations and dispute services assurance technology assisted review tar (technology assisted review) assists in accelerating the review process and run analytics and generate reports. * core member of a team helped in developing automated review platform tool from scratch for assisting e discovery domain, this tool implements predictive coding and topic modelling by automating reviews, resulting in reduced labor costs and time spent during the lawyers review. * understand the end to end flow of the solution, doing research and development for classification models, predictive analysis and mining of the information present in text data. worked on analyzing the outputs and precision monitoring for the entire tool. * tar assists in predictive coding, topic modelling from the evidence by following ey standards. developed the classifier models in order to identify ""red flags"" and fraud-related issues. tools & technologies: python, scikit-learn, tfidf, word2vec, doc2vec, cosine similarity, na ve bayes, lda, nmf for topic modelling, vader and text blob for sentiment analysis. matplot lib, tableau dashboard for reporting. multiple data science and analytic projects (usa clients) text analytics - motor vehicle customer review data * received customer feedback survey data for past one year. performed sentiment (positive, negative & neutral) and time series analysis on customer comments across all 4 categories. * created heat map of terms by survey category based on frequency of words * extracted positive and negative words across all the survey categories and plotted word cloud. * created customized tableau dashboards for effective reporting and visualizations. chatbot * developed a user friendly chatbot for one of our products which handle simple questions about hours of operation, reservation options and so on. * this chat bot serves entire product related questions. giving overview of tool via qa platform and also give recommendation responses so that user question to build chain of relevant answer. * this too has intelligence to build the pipeline of questions as per user requirement and asks the relevant /recommended questions. tools & technologies: python, natural language processing, nltk, spacy, topic modelling, sentiment analysis, word embedding, scikit-learn, javascript/jquery, sqlserver information governance organizations to make informed decisions about all of the information they store. the integrated information governance portfolio synthesizes intelligence across unstructured data sources and facilitates action to ensure organizations are best positioned to counter information risk. * scan data from multiple sources of formats and parse different file formats, extract meta data information, push results for indexing elastic search and created customized, interactive dashboards using kibana. * preforming rot analysis on the data which give information of data which helps identify content that is either redundant, outdated, or trivial. * preforming full-text search analysis on elastic search with predefined methods which can tag as (pii) personally identifiable information (social security numbers, addresses, names, etc.) which frequently targeted during cyber-attacks. tools & technologies: python, flask, elastic search, kibana fraud analytic platform fraud analytics and investigative platform to review all red flag cases. fap is a fraud analytics and investigative platform with inbuilt case manager and suite of analytics for various erp systems. * it can be used by clients to interrogate their accounting systems for identifying the anomalies which can be indicators of fraud by running advanced analytics tools & technologies: html, javascript, sqlserver, jquery, css, bootstrap, node.js, d3.js, dc.js",1.5,"['python', 'java', 'sql', 'scikit-learn']","['collaboration', 'adaptability']",bachelor,3.7
Data Science,"education details may 2013 to may 2017 b.e uit-rgpv data scientist data scientist - matelabs skill details python- exprience - less than 1 year months statsmodels- exprience - 12 months aws- exprience - less than 1 year months machine learning- exprience - less than 1 year months sklearn- exprience - less than 1 year months scipy- exprience - less than 1 year months keras- exprience - less than 1 year monthscompany details company - matelabs description - ml platform for business professionals, dummies and enthusiasts. 60/a koramangala 5th block, achievements/tasks behind sukh sagar, bengaluru, india developed and deployed auto preprocessing steps of machine learning mainly missing value treatment, outlier detection, encoding, scaling, feature selection and dimensionality reduction. deployed automated classification and regression model. linkedin.com/in/aditya-rathore- b4600b146 reasearch and deployed the time series forecasting model arima, sarimax, holt-winter and prophet. worked on meta-feature extracting problem. github.com/rathorology implemented a state of the art research paper on outlier detection for mixed attributes. company - matelabs description -",1.5,"['python', 'java', 'sql', 'scikit-learn']","['collaboration', 'adaptability']",bachelor,3.7
Data Science,"areas of interest deep learning, control system design, programming in-python, electric machinery, web development, analytics technical activities q hindustan aeronautics limited, bangalore - for 4 weeks under the guidance of mr. satish, senior engineer in the hangar of mirage 2000 fighter aircraft technical skills programming matlab, python and java, labview, python webframework-django, flask, ltspice-intermediate languages and and mipower-intermediate, github (gitbash), jupyter notebook, xampp, mysql-basics, python software packages interpreters-anaconda, python2, python3, pycharm, java ide-eclipse operating systems windows, ubuntu, debian-kali linux education details january 2019 b.tech. electrical and electronics engineering manipal institute of technology january 2015 deeksha center january 2013 little flower public school august 2000 manipal academy of higher data science data science and electrical enthusiast skill details data analysis- exprience - less than 1 year months excel- exprience - less than 1 year months machine learning- exprience - less than 1 year months mathematics- exprience - less than 1 year months python- exprience - less than 1 year months matlab- exprience - less than 1 year months electrical engineering- exprience - less than 1 year months sql- exprience - less than 1 year monthscompany details company - themathcompany description - i am currently working with a casino based operator(name not to be disclosed) in macau.i need to segment the customers who visit their property based on the value the patrons bring into the company.basically prove that the segmentation can be done in much better way than the current system which they have with proper numbers to back it up.henceforth they can implement target marketing strategy to attract their customers who add value to the business.",1.5,"['python', 'java', 'sql', 'scikit-learn']","['collaboration', 'adaptability']",bachelor,3.7
Data Science,"education details mca ymcaust, faridabad, haryana data science internship skill details data structure- exprience - less than 1 year months c- exprience - less than 1 year months data analysis- exprience - less than 1 year months python- exprience - less than 1 year months core java- exprience - less than 1 year months database management- exprience - less than 1 year monthscompany details company - itechpower description -",1.5,"['python', 'java', 'sql', 'scikit-learn']","['collaboration', 'adaptability']",bachelor,3.7
Data Science,"skills c basics, iot, python, matlab, data science, machine learning, html, microsoft word, microsoft excel, microsoft powerpoint. recognition academic secured first place in b.tech.education details august 2014 to may 2018 b.tech. ghatkesar, andhra pradesh aurora's scientific and technological institute june 2012 to may 2014 secondary education warangal, telangana sr junior college data science skill details ms office- exprience - less than 1 year months c- exprience - less than 1 year months machine learning- exprience - less than 1 year months data science- exprience - less than 1 year months matlab- exprience - less than 1 year monthscompany details company - description -",2.5,"['python', 'matlab', 'data science']","['collaboration', 'adaptability']",bachelor,3.5
Data Science,"skills python tableau data visualization r studio machine learning statistics iabac certified data scientist with versatile experience over 1+ years in managing business, data science consulting and leading innovation projects, bringing business ideas to working real world solutions. being a strong advocator of augmented era, where human capabilities are enhanced by machines, fahed is passionate about bringing business concepts in area of machine learning, ai, robotics etc., to real life solutions.education details january 2017 b. tech computer science & engineering mohali, punjab indo global college of engineering data science consultant data science consultant - datamites skill details machine learning- exprience - 13 months python- exprience - 24 months solutions- exprience - 24 months data science- exprience - 24 months data visualization- exprience - 24 months tableau- exprience - 24 monthscompany details company - datamites description - analyzed and processed complex data sets using advanced querying, visualization and analytics tools. responsible for loading, extracting and validation of client data. worked on manipulating, cleaning & processing data using python. used tableau for data visualization. company - heretic solutions pvt ltd description - worked closely with business to identify issues and used data to propose solutions for effective decision making. manipulating, cleansing & processing data using python, excel and r. analyzed raw data, drawing conclusions & developing recommendations. used machine learning tools and statistical techniques to produce solutions to problems.",1.5,"['python', 'java', 'sql', 'scikit-learn']","['collaboration', 'adaptability']",bachelor,3.7
Data Science,"personal skills ability to quickly grasp technical aspects and willingness to learn high energy levels & result oriented. education details january 2018 master of engineering computer technology & application bhopal, madhya pradesh truba institute of engineering & information technology january 2010 b.e. computer science bhopal, madhya pradesh rkdf institute of science and technology college of engineering january 2006 polytechnic information technology vidisha, madhya pradesh sati engineering college in vidisha january 2003 m.tech thesis detail bmch school in ganj basoda data science i have six month experience in data science. key skills: - experience in machine learning, deep leaning, nlp, python, sql, web scraping good knowledge in computer subjects and ability to update skill details experience in machine learning, deep learning, nlp, python, sql, web crawling, html,css.- exprience - less than 1 year monthscompany details company - rnt.ai technology solution description - text classification using machine learning algorithms with python. practical knowledge of deep learning algorithms such as recurrent neural networks(rnn). develop custom data models and algorithms to apply to dataset experience with python packages like pandas, scikit-learn, tensor flow, numpy, matplotliv, nltk. comfort with sql, mysql sentiment analysis. apply leave dataset using classification technique like tf--idf , lsa with cosine similarity using machine learning algorithms. web crawling using selenium web driver and beautiful soup with python. company - life insurance corporation of india bhopal description - explaining policy features and the benefits updated knowledge of life insurance products and shared with customers",1.5,"['python', 'java', 'sql', 'scikit-learn']","['collaboration', 'adaptability']",bachelor,3.7
Data Science,"expertise data and quantitative analysis decision analytics predictive modeling data-driven personalization kpi dashboards big data queries and interpretation data mining and visualization tools machine learning algorithms business intelligence (bi) research, reports and forecasts education details pgp in data science mumbai, maharashtra aegis school of data science & business b.e. in electronics & communication electronics & communication indore, madhya pradesh ies ips academy data scientist data scientist with pr canada skill details algorithms- exprience - 6 months bi- exprience - 6 months business intelligence- exprience - 6 months machine learning- exprience - 24 months visualization- exprience - 24 months spark- exprience - 24 months python- exprience - 36 months tableau- exprience - 36 months data analysis- exprience - 24 monthscompany details company - aegis school of data science & business description - mostly working on industry project for providing solution along with teaching appointments: teach undergraduate and graduate-level courses in spark and machine learning as an adjunct faculty member at aegis school of data science, mumbai (2017 to present) company - aegis school of data & business description - data science intern, nov 2015 to jan 2016 furnish executive leadership team with insights, analytics, reports and recommendations enabling effective strategic planning across all business units, distribution channels and product lines. chat bot using aws lex and tensor flow python the goal of project creates a chat bot for an academic institution or university to handle queries related courses offered by that institute. the objective of this task is to reduce human efforts as well as reduce man made errors. even by this companies handle their client 24x7. in this case companies are academic institutions and clients are participants or students. web scraping using selenium web driver python the task is to scrap the data from the online messaging portal in a text format and have to find the pattern form it. data visualization and data insights hadoop eco system, hive, pyspark, qliksense the goal of this project is to build a business solutions to a internet service provider company, like handling data which is generated per day basis, for that we have to visualize that data and find the usage pattern form it and have a generate a reports. image based fraud detection microsoft face api, pyspark, open cv the main goal of project is recognize similarity for a face to given database images. face recognition is the recognizing a special face from set of different faces. face is extracted and then compared with the database image if that image recognized then the person already applied for loan from somewhere else and now hiding his or her identity, this is how we are going to prevent the frauds in the initial stage itself. churn analysis for internet service provider r, python, machine learning, hadoop the objective is to identify the customer who is likely to churn in a given period of time; we have to pretend the customer giving incentive offers. sentiment analysis python, nlp, apache spark service in ibm bluemix. this project is highly emphasis on tweets from twitter data were taken for mobile networks service provider to do a sentiment analysis and analyze whether the expressed opinion was positive, negative or neutral, capture the emotions of the tweets and comparative analysis. quantifiable results: mentored 7-12 data science enthusiast each year that have all since gone on to graduate school in data science and business analytics. reviewed and evaluated 20-40 research papers on data science for one of the largest data science conference called data science congress by aegis school of business mumbai. heading a solution providing organization called data science delivered into aegis school of data science mumbai and managed 4-5 live projects using data science techniques. working for some social cause with the help of data science for social goods committee, where our team developed a product called ""let's find a missing child"" for helping society. company - ibm india pvt ltd description - mostly worked on blumix and ibm watson for data science.",1.5,"['python', 'java', 'sql', 'scikit-learn']","['collaboration', 'adaptability']",bachelor,3.7
Data Science,"education details may 2013 to may 2017 b.e uit-rgpv data scientist data scientist - matelabs skill details python- exprience - less than 1 year months statsmodels- exprience - 12 months aws- exprience - less than 1 year months machine learning- exprience - less than 1 year months sklearn- exprience - less than 1 year months scipy- exprience - less than 1 year months keras- exprience - less than 1 year monthscompany details company - matelabs description - ml platform for business professionals, dummies and enthusiasts. 60/a koramangala 5th block, achievements/tasks behind sukh sagar, bengaluru, india developed and deployed auto preprocessing steps of machine learning mainly missing value treatment, outlier detection, encoding, scaling, feature selection and dimensionality reduction. deployed automated classification and regression model. linkedin.com/in/aditya-rathore- b4600b146 reasearch and deployed the time series forecasting model arima, sarimax, holt-winter and prophet. worked on meta-feature extracting problem. github.com/rathorology implemented a state of the art research paper on outlier detection for mixed attributes. company - matelabs description -",1.5,"['python', 'java', 'sql', 'scikit-learn']","['collaboration', 'adaptability']",bachelor,3.7
Data Science,"areas of interest deep learning, control system design, programming in-python, electric machinery, web development, analytics technical activities q hindustan aeronautics limited, bangalore - for 4 weeks under the guidance of mr. satish, senior engineer in the hangar of mirage 2000 fighter aircraft technical skills programming matlab, python and java, labview, python webframework-django, flask, ltspice-intermediate languages and and mipower-intermediate, github (gitbash), jupyter notebook, xampp, mysql-basics, python software packages interpreters-anaconda, python2, python3, pycharm, java ide-eclipse operating systems windows, ubuntu, debian-kali linux education details january 2019 b.tech. electrical and electronics engineering manipal institute of technology january 2015 deeksha center january 2013 little flower public school august 2000 manipal academy of higher data science data science and electrical enthusiast skill details data analysis- exprience - less than 1 year months excel- exprience - less than 1 year months machine learning- exprience - less than 1 year months mathematics- exprience - less than 1 year months python- exprience - less than 1 year months matlab- exprience - less than 1 year months electrical engineering- exprience - less than 1 year months sql- exprience - less than 1 year monthscompany details company - themathcompany description - i am currently working with a casino based operator(name not to be disclosed) in macau.i need to segment the customers who visit their property based on the value the patrons bring into the company.basically prove that the segmentation can be done in much better way than the current system which they have with proper numbers to back it up.henceforth they can implement target marketing strategy to attract their customers who add value to the business.",1.5,"['python', 'java', 'sql', 'scikit-learn']","['collaboration', 'adaptability']",bachelor,3.7
